lolnc_num,long_common_name                                                                                   ,component      ,system      ,property
33870-7  ,Billrubin total [Presence] in Unspecfied specimen                                                  ,Bilirubin      ,XXX         ,PrThr
29265-6  ,Calcium [Moles/volume] corrected for albumin in Serum or Plasma                                    ,Caicium        ,Ser/Plas    ,SCnc
14423-8  ,Bilirubin total [Mass/volume] in Synovial fluid                                                    ,Bilirubin      ,Synv fld    ,Mcnc
23658-8  ,Other Antibiotic [Susceptibility]                                                                  ,Antibiotic XX) ,isolate     ,Susc
19000-9  ,Vancomycin [Susceptibility]                                                                        ,Vancomycin     ,isolate     ,Susc
14749-6  ,Glucose [Moles/volume] in Serum or Plasma                                                          ,Glucose        ,Ser/Plas    ,SCnc
1920-8   ,Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma                          ,Aspartate am   ,Ser/Plas    ,CCnc
18878-9  ,Cefazolln [Susceptibility]                                                                         ,Cefazolin      ,isolate     ,Susc
20442-0  ,Hepatitis B virus DNA [ll/volume] (viral load) in Serum by Probe with signal amplification         ,Hepatitis 8 vii,Ser         ,Ncnc
1751-7   ,Albumin [Mass/volume] in Serum or Plasma                                                           ,Albumin        ,Ser/Plas    ,MCnc
13317-3  ,Methlcillin resistant Staphylococcus aureus [Presence] in Unspecified specimen by Organism specific,Staphylococci  ,XXX         ,ACnc
15076-3  ,Glucose [Moles/volume] in Urine                                                                    ,Glucose        ,Urine       ,SCnc
35184-1  ,Fasting glucose [Mass or Moles/volume] in Serum or Plasma                                          ,Glucose post   ,Ser/Plas    ,hASCnc
2085-9   ,Cholesterol in l-iDL [Mass/volume] in Serum or Plasma                                              ,Cholesterol.in ,Ser/Plas    ,MCnc
26464-8  ,Leukocytes [ll/volume] in Blood                                                                    ,Leukocytes     ,Bid         ,NCnc
925-8    ,Blood product disposition [Type]                                                                   ,Blood produc   ,^BPU        ,Type
1994-3   ,Calcium.ionized [Moles/volume] in Blood                                                            ,Calcium ionizi ,Bid         ,SCnc
1798-8   ,Amylase [Enzymatic activity/volume] in Serum or Plasma                                             ,Amylase        ,Ser/Plas    ,Ccnc
1959-6   ,Bicarbonate [Moles/volume] in Blood                                                                ,Bicarbonate    ,Bid         ,SCnc
1975-2   ,Bilirubin total [Mass/volume] in Serum or Plasma                                                   ,Bilirubin      ,Ser/Plas    ,MCnc
18928-2  ,Gentamicin [Susceptibility]                                                                        ,Gentamicin     ,isolate     ,Susc
14578-9  ,A80 group [Type] in Blood from Blood product unit                                                  ,A80 group      ,Bld^BPU     ,Type
934-0    ,Blood product unit ID [ii]                                                                         ,Blood product  ,Dose        ,Nuni
4671-4   ,Protein C [Mass/volume] in Plasma                                                                  ,Protein C      ,Plas        ,MCnc
2069-3   ,Chloride [Moles/volume] in Blood                                                                   ,Chloride       ,Bid         ,SCnc
2111-3   ,Choriogonadotropin beta subunit [Moles/volume] in Serum or Plasma                                  ,Choriogonadc   ,Ser/Plas    ,SCnc
17861-6  ,Calcium [Mass/volume] in Serum or Plasma                                                           ,Calcium        ,Ser/Plas    ,MCnc
2075-0   ,Chloride [Moles/volume] in Serum or Plasma                                                         ,Chloride       ,Ser/Plas    ,SCnc
933-2    ,Blood product type                                                                                 ,Blood product  ,^BPU        ,Type
2132-9   ,Cobalamin (Vitamin B12) [Mass/volume] in Serum                                                     ,Cobalamins     ,Ser         ,MCnc
19080-1  ,Choriogonadotropin [Units/volume] in Serum or Plasma                                               ,Choriogonadc   ,Ser/Plas    ,ACnc
26478-8  ,Lymphocytes/100 leukocytes in Blood                                                                ,Lymphocytes    ,Bld         ,NFr
14747-0  ,Glucose [Moles/volume] in Pleural ﬂuid                                                             ,Glucose        ,Plr fid     ,SCnc
20565-8  ,Carbon dioxide total [Moles/volume] in Blood                                                       ,Carbon dioxid  ,Bld         ,SCnc
2028-9   ,Carbon dioxide total [Moles/volume] in Serum or Plasma                                             ,Carbon dioxid  ,Ser/Plas    ,SCnc
18955-S  ,Nitrofurantoin [Susceptibility]                                                                    ,Nitrofurantoii ,Isolate     ,Susc
2093-3   ,Cholesterol [Mass/volume] in Serum or Plasma                                                       ,Cholesterol    ,Ser/Plas    ,hACnc
18998-5  ,Trimethoprim+Sulfamethoxazole [Susceptibility]                                                     ,Trimethoprim   ,Isolate     ,Susc
890-4    ,Blood group antibody screen [Presence] in Serum or Plasma                                          ,Blood group a  ,Ser/Plas    ,ACnc
14764-5  ,Glucose [Moles/volume] in Serum or Plasma --3 hours post 100 g glucose PO                          ,Glucose3H p    ,Ser/Plas    ,SCnc
2143-6   ,Cortisol [Mass/volume] in Serum or Plasma                                                          ,Cortisol       ,Ser/Plas    ,MCnc
2039-6   ,Carcinoembryonic Ag [Mass/volume] in Serum or Plasma                                               ,Carcinoembry   ,Ser/Plas    ,MCnc
