lolnc_num,long_common_name                                                                                   ,component      ,system      ,property, score
33870-7  ,Billrubin total [Presence] in Unspecfied specimen                                                  ,Bilirubin      ,XXX         ,PrThr,0
29265-6  ,Calcium [Moles/volume] corrected for albumin in Serum or Plasma                                    ,Caicium        ,Ser/Plas    ,SCnc,3
14423-8  ,Bilirubin total [Mass/volume] in Synovial fluid                                                    ,Bilirubin      ,Synv fld    ,Mcnc,0
23658-8  ,Other Antibiotic [Susceptibility]                                                                  ,Antibiotic XX) ,isolate     ,Susc,0
19000-9  ,Vancomycin [Susceptibility]                                                                        ,Vancomycin     ,isolate     ,Susc,0
14749-6  ,Glucose [Moles/volume] in Serum or Plasma                                                          ,Glucose        ,Ser/Plas    ,SCnc,3
1920-8   ,Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma                          ,Aspartate am   ,Ser/Plas    ,CCnc,2
18878-9  ,Cefazolln [Susceptibility]                                                                         ,Cefazolin      ,isolate     ,Susc,0
20442-0  ,Hepatitis B virus DNA [ll/volume] (viral load) in Serum by Probe with signal amplification         ,Hepatitis 8 vii,Ser         ,Ncnc,0
1751-7   ,Albumin [Mass/volume] in Serum or Plasma                                                           ,Albumin        ,Ser/Plas    ,MCnc,2
13317-3  ,Methlcillin resistant Staphylococcus aureus [Presence] in Unspecified specimen by Organism specific,Staphylococci  ,XXX         ,ACnc,0
15076-3  ,Glucose [Moles/volume] in Urine                                                                    ,Glucose        ,Urine       ,SCnc,0
35184-1  ,Fasting glucose [Mass or Moles/volume] in Serum or Plasma                                          ,Glucose post   ,Ser/Plas    ,hASCnc,4
2085-9   ,Cholesterol in l-iDL [Mass/volume] in Serum or Plasma                                              ,Cholesterol.in ,Ser/Plas    ,MCnc,2
26464-8  ,Leukocytes [ll/volume] in Blood                                                                    ,Leukocytes     ,Bid         ,NCnc,0
925-8    ,Blood product disposition [Type]                                                                   ,Blood produc   ,^BPU        ,Type,2
1994-3   ,Calcium.ionized [Moles/volume] in Blood                                                            ,Calcium ionizi ,Bid         ,SCnc,1
1798-8   ,Amylase [Enzymatic activity/volume] in Serum or Plasma                                             ,Amylase        ,Ser/Plas    ,Ccnc,0
1959-6   ,Bicarbonate [Moles/volume] in Blood                                                                ,Bicarbonate    ,Bid         ,SCnc,2
1975-2   ,Bilirubin total [Mass/volume] in Serum or Plasma                                                   ,Bilirubin      ,Ser/Plas    ,MCnc,4
18928-2  ,Gentamicin [Susceptibility]                                                                        ,Gentamicin     ,isolate     ,Susc,0
14578-9  ,A80 group [Type] in Blood from Blood product unit                                                  ,A80 group      ,Bld^BPU     ,Type,2
