lolnc_num,long_common_name                                                                                ,component          ,system    ,property, score
1988-5   ,C reactive protein [Mass/volume] in Serum or Plasma                                             ,C reactive pro     ,Ser/Plas  ,Mcnc        ,0
1959-6   ,Bicarbonate [Moles/volume] in Blood                                                             ,Bicarbonate        ,Bid       ,SCnc        ,4
10331-7  ,Rh [Type] in Blood                                                                              ,Rh                 ,Bid       ,Type        ,3
18998-5  ,Trimethoprim+Sulfamethoxazole [Susceptibility]                                                  ,Trimethoprim       ,Isolate   ,Susc        ,0
1975-2   ,Bilirubin total [Mass/volume] in Serum or Plasma                                                ,Bilirubin          ,Ser/Plas  ,MCnc        ,0
890-4    ,Blood group antibody screen [Presence] in Serum or Plasma                                       ,Blood group a      ,Ser/Plas  ,ACnc        ,3
20565-8  ,Carbon dioxide total [Moles/volume] in Blood                                                    ,Carbon dioxid      ,Bid       ,SCnc        ,4
18906-8  ,Ciproﬂoxacin [Susceptibility]                                                                   ,Ciprofioxacin      ,Isolate   ,Susc        ,0
2143-6   ,Cortisol [Mass/volume] in Serum or Plasma                                                       ,Cortisol           ,Ser/Plas  ,MCnc        ,0
2075-0   ,Chloride [Moles/volume] in Serum or Plasma                                                      ,Chloride           ,Ser/Plas  ,SCnc        ,0
4671-4   ,Protein C [Mass/volume] in Plasma                                                               ,Protein C          ,Plas      ,MCnc        ,0
18864-9  ,Ampicillin [Susceptibility]                                                                     ,Ampicillin         ,Isolate   ,Susc        ,0
15076-3  ,Glucose [Moles/volume] in Urine                                                                 ,Glucose            ,Urine     ,SCnc        ,0
1798-8   ,Amylase [Enzymatic activity/volume] in Serum or Plasma                                          ,Amylase            ,Ser/Plas  ,CCnc        ,0
26474-7  ,Lymphocytes [ii/volume] in Blood                                                                ,lvmphocytes        ,Bid       ,NCnc        ,3
1920-8   ,Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma                       ,Aspartate am       ,Ser/Plas  ,CCnc        ,0
13317-3  ,Methicillin resistant Staphylococcus aureus [Presence] in Unspecified specimen by Organism speci,Staphylococci      ,XXX       ,ACnc        ,0
925-8    ,Blood product disposition [Type]                                                                ,Blood product      ,^BPU      ,Type        ,2
14749-6  ,Glucose [Moles/volume] in Serum or Plasma                                                       ,Glucose            ,Ser/Plas  ,SCnc        ,3
14747-0  ,Glucose [Moles/volume] in Pleural ﬂuid                                                          ,Glucose            ,Plr fld   ,Scnc        ,4
2093-3   ,Cholesterol [Mass/volume] in Serum or Plasma                                                    ,Ch                 ,Ser/Plas  ,MCnc        ,0
1968-7   ,Bllirubin direct [Mass/volume] in Serum or Plasma                                               ,mllfubin-8lUCl     ,Ser/Plas  ,MCnc        ,0
26464-8  ,Leukocytes [ii/volume] in Blood                                                                 ,I-EUROCYN          ,Bid       ,NCnc        ,4
74774-1  ,Glucose [Mass/volume] in Serum                                                                  ,Plasma or Blood    ,Glucose   ,Ser/Plas/Bid,Mcnc,4
8310-5   ,Body temperature                                                                                ,Body tempera       ,Patient   ,Temp        ,0
934-0    ,Blood product unit ID [ii]                                                                      ,Blood produc'      ,Dose      ,Nunt        ,0
14423-8  ,Bilirubin total [Mass/volume] in Synovial ﬂuid                                                  ,Bilirubin          ,Synv fld  ,hACnc       ,0
1742-6   ,Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma                         ,Alanine aminc      ,Ser/Plas  ,CCnc        ,0
14764-5  ,Glucose [Moles/volume] in Serum or Plasma --3 hours post 100 g glucose PO                       ,"Glucose""3H p "   ,Ser/Plas  ,SCnc        ,1
1994-3   ,Calcium ionized [Moles/volume] in Blood                                                         ,Calcium.ionizi     ,Bld       ,SCnc        ,4
1751-7   ,Albumin [Mass/volume] in Serum or Plasma                                                        ,Albumin            ,Ser/Plas  ,MCnc        ,0
1003-3   ,indirect antiglobulin test.comp|ement speciﬁc reagent [Presence] in Serum or Plasma             ,indirect antigl    ,Ser/Plas  ,ACnc        ,0
1971-1   ,Bilirubin indirect [Mass/volume] in Serum or Plasma                                             ,Bilirubin.non-     ,Ser/Plas  ,Mcnc        ,0
26484-6  ,Monocytes [ii/volume] in Blood                                                                  ,Monocytes          ,Bld       ,NCnc        ,3
18865-6  ,Ampicillin+Sulbactam [Susceptibility]                                                           ,Ampicillin+Su=     ,Isolate   ,Susc        ,0
882-1    ,ABO & Rh group [Type] in Blood                                                                  ,ABO+Rh grou        ,Bld       ,Type        ,0
1250-0   ,Major crossmatch [interpretation]                                                               ,Major crossm       ,Ser/Plas  ,hnp         ,0
883-9    ,ABO group [Type] in Blood                                                                       ,ABO group          ,Bld       ,Type        ,3
2132-9   ,Cobalamin (Vitamin B12) [Mass/volume] in Serum                                                  ,Cobalamins         ,Ser       ,MCnc        ,0
31100-1  ,Hematocrit [Volume Fraction] of Blood by Impedance                                              ,Hematocrit         ,Bid       ,VFr         ,4
6768-6   ,Alkaline phosphatase [Enzymatic activity/volume] in Serum or Plasma                             ,Alkaline phos|     ,Ser/Plas  ,CCnc        ,0
2069-3   ,Chloride [Moles/volume] in Blood                                                                ,Chloride           ,Bid       ,SCnc        ,3
3082-5   ,Tyrosine aminotransferase [Mass/volume] in Plasma                                               ,Tyrosine amir      ,Plas      ,MCnc        ,0
30522-7  ,C reactive protein [Mass/volume] in Serum or Plasma by High sensitivity method                  ,C reactive pro     ,Ser/Plas  ,Mcnc        ,0
33870-7  ,Bilirubin total [Presence] in Unspecified specimen                                              ,Bilirubin          ,XXX       ,PrThr       ,0
20442-0  ,Hepatitis B virus DNA [ii/volume] (viral load) in Serum by Probe with signal ampliﬁcation       ,Hepatitis 8 vii Ser,Ser/Plas  ,NCnc        ,0
2111-3   ,Choriogonadotropin beta subunit [Moles/volume] in Serum or Plasma                               ,Choriogonadc       ,Ser/Plas  ,SCnc        ,0
14578-9  ,ABO group [Type] in Blood from Blood product unit                                               ,ABO group          ,"Bld""8PU",Type        ,3
18955-5  ,Nitrofurantoin [Susceptibility]                                                                 ,Nitrofurantoii     ,Isolate   ,Susc        ,0
2039-6   ,Carcinoembryonic Ag [Mass/volume] in Serum or Plasma                                            ,Carcinoembry       ,Ser/Plas  ,MCnc        ,0
933-2    ,Blood product type                                                                              ,Blood product      ,^BPU      ,Type        ,0
19000-9  ,Vancomycin [Susceptibility]                                                                     ,Vancomycin         ,Isolate   ,Susc        ,0
26478-8  ,Lymphocytes/100 leukocytes in Blood                                                             ,Lymphocytes        ,Bld       ,NFr         ,4
19080-1  ,Choriogonadotropin [Units/volume] in Serum or Plasma                                            ,Choriogonadc       ,Ser/Plas  ,Acnc        ,0
